ID,film,Year,Genre,RunTime,Description,IMDB_Score,Value_IMDB
95,Avengers S.T.A.T.I.O.N.,(2014 Video),Sci-Fi,0,a Plot,7.4,Good
96,Marvel 75 Years: From Pulp to Pop!,(2014 TV film),"Documentary,History",42 min,Emily Vancamp hosts this one of a kind experience showing the history and development of Marvel from the first comic book to the latest blockbuster hit.,7.2,Good
101,Prodigal,(III) (2011),"Short,Sci-Fi",25 min,"A father seeks redemption by rescuing his daughter, a PRODIGAL, from two organizations hell-bent on acquiring her ""special"" abilities.",6.9,Bad
102,The Infinite Six,(2015 Video),Short,7 min,"This short explains the six infinity stones that are at the heart of the Marvel cinematic universe. ""Age of Ultron"" executive producer Jeremy Latcham talks about how the stones were adapted from the comics to film.",5.6,Bad
103,Iron Man 3: The Prologue,-2013,"Short,Action",0,a Plot,6.2,Bad
104,Captain America: Civil War Save a Hero Campaign,(2016 Video),Short,0,a Plot,6.0,Bad
105,Jack Kirby: Story Teller,(2007 Video),Documentary,64 min,"The life of Jack Kirby as a comic book artist, from his humble beginnings to being the King of Comics.",6.5,Bad
106,19th Annual Critics' Choice film Awards,(2014 TV Special),,120 min,a Plot,6.2,Bad
107,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Mutant X encounters a new faction of New Mutants - the Strand, led by the powerful first mutant, Gabriel Ashlocke.",7.1,Good
108,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Mutant X tracks down a rogue scientist while Shalimar breaks away from the team to help Adam save the scientist and uncover the real bad guy.,5.6,Bad
109,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Mutant X unearths an old military experiment involving an age-reversal serum and is surprised to discover that Jesse's grandfather is a one of the test subjects.,5.4,Bad
110,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"A young New Mutant from Adam's past shows up, seeking revenge for her father's death.",6.8,Bad
111,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"As the Mutant X team fights to retrieve a formula hidden in a collection of artwork, Shalimar is given vital information from a mysterious source.",6.1,Bad
112,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team face their most dangerous mission yet when they set out to stop a group of eco-terrorists.,6.4,Bad
113,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Jesse is roped into a deadly undercover mission by his estranged father, who is working against Eckhart.",6.5,Bad
114,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"A mutant who was disembodied takes over the bodies of various people. And sets out to go after the ones who did this to him. And one of them is a doctor, Shalamar likes.",6.2,Bad
115,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The Mutant X team learns about Lexa's estranged twin brother when he becomes the main target of an underground operation harvesting mutant organs.,5.9,Bad
116,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Lexa's suspicions lead Mutant X to unveil a traveling death camp, which is posed as a circus for mutant refugees and Mutant X's enemy within the Dominion.",6.1,Bad
117,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"While Brennan and Shalimar investigate a mysterious plane crash, Lexa contemplates her future with the Mutant X team.",5.4,Bad
118,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"A boy who's developing new mutant abilities has been kidnapped. The team tries to find him, for his mother. They later learn she was the one who had her son kidnapped. She said it was too ...                See full summary »",6.3,Bad
119,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"The team set out to save Brennan, who has become trapped inside an invisible town - and is facing execution for a crime he didn't commit.",6.0,Bad
120,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Mutant X and Genomex are both captured on film using their powers, and they both have to deal with the reporter who plans to go public with the information.",5.9,Bad
121,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,The team encounters some people trying to break into a Genomex lab and discover that they're ferals. They learn that they're military and that they're entire unit was experimented on which ...                See full summary »,6.5,Bad
122,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team tries to stop Eckhart from acquiring a rare element. But a thief gets it. The woman who has the ability to make men fall in love with her sets her sights on Brennan. She makes him ...                See full summary »,6.5,Bad
123,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Brennan is forced to return to his criminal past when Mutant X discovers that his old partner is involved in stealing secrets from the Dominion.,6.1,Bad
124,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"An old friend of Brennan's lures him and Emma into a trap - Emma ends up split into two separate entities, one good and one evil.",6.3,Bad
125,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Mutant X must stop a scientist from cloning women for use as slaves in his ultra-exclusive men's club.,5.7,Bad
